A,646296,5250370,
B,648437,5250748,
C,650804,5251346,
D,652647,5251737,
E,654123,5252066,
F,655685,5252444,
G,657467,5252920,
H,659529,5253360,
I,661640,5253848,
J,663885,5254421,
Schneefernerkopf,648618,5252563,
GratA,649151,5253506,
Schneefernerhaus,649306,5253361,
GratB,648625,5253081,
Zugspitzplatt,649450,5253082,
M�nchenerHaus,649720,5253869,
Zugspitze,649820,5253883,
JubigratA,650491,5253876,
JubigratB,650807,5253820,
InnereHoellentalsp,651647,5253641,
MittlereHoellentalsp,652327,5253881,
AussereHoellentalsp,652948,5253957,
Vollkarspitze,653451,5254043,
JubigratC,653921,5254235,
Grieskarscharte,653944,5254510,
Alpspitze,654421,5254915,
Grieskar,654862,5254471,
Stuibensee,655694,5254726,
Reintalangerhuette,653583,5252218,
Knorrhuette,651833,5252694,
HoellentalfernerA,650148,5254077,
HoellentalfernerB,650753,5254014,
Riffelriss,649785,5255330,
Eibsee,648613,5257689,
HoellentalfernerC,651118,5253877,
SchneefernereckA,650423,5253675,
SchneefernereckB,650561,5253578,
WeissesTalA,651439,5253419,
WeissesTalB,651406,5253384,
Bergl,651490,5253812,
Gamskar,652000,5253616,
Kirchkar,652605,5253597,
unterVollkartsp,653486,5253438,
Mathaisenkar,653497,5254584,
amHochblassen,655007,5254083,
Blassenloch,655092,5253895,
HoherGaif,655638,5254164,
Schuetzengufel,655876,5253805,
